"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00186350","38.9133","-76.97","15.2","1949-08-20","79","53","73"
"USC00186350","38.9133","-76.97","15.2","1949-08-21","81","53","79"
"USC00186350","38.9133","-76.97","15.2","1949-08-22","83","54","80"
"USC00186350","38.9133","-76.97","15.2","1949-08-23","82","62","81"
"USC00186350","38.9133","-76.97","15.2","1949-08-24","89","70","88"
"USC00186350","38.9133","-76.97","15.2","1949-08-25","89","65","81"
"USC00186350","38.9133","-76.97","15.2","1949-08-26","87","63","87"
"USC00186350","38.9133","-76.97","15.2","1949-08-27","95","70","93"
"USC00186350","38.9133","-76.97","15.2","1949-08-28","93","71","85"
"USC00186350","38.9133","-76.97","15.2","1949-08-29","85","69","85"
"USC00186350","38.9133","-76.97","15.2","1949-08-30","87","61","87"
"USC00186350","38.9133","-76.97","15.2","1949-08-31","88","63","82"
"USC00186350","38.9133","-76.97","15.2","1949-09-01","82","64","81"
"USC00186350","38.9133","-76.97","15.2","1949-09-02","82","47","75"
"USC00186350","38.9133","-76.97","15.2","1949-09-03","82","52","78"
"USC00186350","38.9133","-76.97","15.2","1949-09-04","85","57","83"
"USC00186350","38.9133","-76.97","15.2","1949-09-05","91","64","89"
"USC00186350","38.9133","-76.97","15.2","1949-09-06","90","68","85"
"USC00186350","38.9133","-76.97","15.2","1949-09-07","85","58","65"
"USC00186350","38.9133","-76.97","15.2","1949-09-08","81","57","78"
"USC00186350","38.9133","-76.97","15.2","1949-09-09","80","51","70"
"USC00186350","38.9133","-76.97","15.2","1949-09-10","75","42","74"
"USC00186350","38.9133","-76.97","15.2","1949-09-11","78","43","76"
"USC00186350","38.9133","-76.97","15.2","1949-09-12","78","57","74"
"USC00186350","38.9133","-76.97","15.2","1949-09-13","83","64","83"
"USC00186350","38.9133","-76.97","15.2","1949-09-14","83","65","81"
"USC00186350","38.9133","-76.97","15.2","1949-09-15","82","62","81"
"USC00186350","38.9133","-76.97","15.2","1949-09-16","82","58","71"
"USC00186350","38.9133","-76.97","15.2","1949-09-17","81","56","80"
"USC00186350","38.9133","-76.97","15.2","1949-09-18","85","58","85"
"USC00186350","38.9133","-76.97","15.2","1949-09-19","86","66","85"
"USC00186350","38.9133","-76.97","15.2","1949-09-20","85","59","72"
"USC00186350","38.9133","-76.97","15.2","1949-09-21","75","46","74"
"USC00186350","38.9133","-76.97","15.2","1949-09-22","82","55","81"
"USC00186350","38.9133","-76.97","15.2","1949-09-23","82","52","67"
"USC00186350","38.9133","-76.97","15.2","1949-09-24","68","46","67"
"USC00186350","38.9133","-76.97","15.2","1949-09-25","70","42","68"
"USC00186350","38.9133","-76.97","15.2","1949-09-26","72","41","69"
"USC00186350","38.9133","-76.97","15.2","1949-09-27","69","48","69"
"USC00186350","38.9133","-76.97","15.2","1949-09-28","79","60","78"
"USC00186350","38.9133","-76.97","15.2","1949-09-29","78","50","59"
"USC00186350","38.9133","-76.97","15.2","1949-09-30","79","49","78"
"USC00186350","38.9133","-76.97","15.2","1949-10-01","78","43","76"
"USC00186350","38.9133","-76.97","15.2","1949-10-02","77","46","71"
"USC00186350","38.9133","-76.97","15.2","1949-10-03","74","44","70"
"USC00186350","38.9133","-76.97","15.2","1949-10-04","80","52","75"
"USC00186350","38.9133","-76.97","15.2","1949-10-05","81","61","76"
"USC00186350","38.9133","-76.97","15.2","1949-10-06","77","60","74"
"USC00186350","38.9133","-76.97","15.2","1949-10-07","76","65","75"
"USC00186350","38.9133","-76.97","15.2","1949-10-08","84","61","82"
"USC00186350","38.9133","-76.97","15.2","1949-10-09","85","68","84"
"USC00186350","38.9133","-76.97","15.2","1949-10-10","87","62","85"
"USC00186350","38.9133","-76.97","15.2","1949-10-11","87","62","84"
"USC00186350","38.9133","-76.97","15.2","1949-10-12","85","62","83"
"USC00186350","38.9133","-76.97","15.2","1949-10-13","83","54","55"
"USC00186350","38.9133","-76.97","15.2","1949-10-14","65","53","63"
"USC00186350","38.9133","-76.97","15.2","1949-10-15","73","60","71"
"USC00186350","38.9133","-76.97","15.2","1949-10-16","71","55","65"
"USC00186350","38.9133","-76.97","15.2","1949-10-17","65","47","61"
"USC00186350","38.9133","-76.97","15.2","1949-10-18","69","54","63"
"USC00186350","38.9133","-76.97","15.2","1949-10-19","72","55","67"
"USC00186350","38.9133","-76.97","15.2","1949-10-20","76","45","74"
"USC00186350","38.9133","-76.97","15.2","1949-10-21","82","41","79"
"USC00186350","38.9133","-76.97","15.2","1949-10-22","82","53","77"
"USC00186350","38.9133","-76.97","15.2","1949-10-23","77","50","71"
"USC00186350","38.9133","-76.97","15.2","1949-10-24","71","46","65"
"USC00186350","38.9133","-76.97","15.2","1949-10-25","69","46","50"
"USC00186350","38.9133","-76.97","15.2","1949-10-26","69","48","66"
"USC00186350","38.9133","-76.97","15.2","1949-10-27","67","35","55"
"USC00186350","38.9133","-76.97","15.2","1949-10-28","58","33","56"
"USC00186350","38.9133","-76.97","15.2","1949-10-29","62","46","61"
"USC00186350","38.9133","-76.97","15.2","1949-10-30","62","56","61"
"USC00186350","38.9133","-76.97","15.2","1949-10-31","69","57","65"
"USC00186350","38.9133","-76.97","15.2","1949-11-01","65","45","46"
"USC00186350","38.9133","-76.97","15.2","1949-11-02","62","36","58"
"USC00186350","38.9133","-76.97","15.2","1949-11-03","59","37","54"
"USC00186350","38.9133","-76.97","15.2","1949-11-04","54","42","48"
"USC00186350","38.9133","-76.97","15.2","1949-11-05","48","36","45"
"USC00186350","38.9133","-76.97","15.2","1949-11-06","51","28","48"
"USC00186350","38.9133","-76.97","15.2","1949-11-07","68","42","65"
"USC00186350","38.9133","-76.97","15.2","1949-11-08","75","41","72"
"USC00186350","38.9133","-76.97","15.2","1949-11-09","75","39","70"
"USC00186350","38.9133","-76.97","15.2","1949-11-10","75","39","70"
"USC00186350","38.9133","-76.97","15.2","1949-11-11","78","40","77"
"USC00186350","38.9133","-76.97","15.2","1949-11-12","77","48","61"
"USC00186350","38.9133","-76.97","15.2","1949-11-13","73","52","67"
"USC00186350","38.9133","-76.97","15.2","1949-11-14","67","49","65"
